"codigo","codigoPai","descricao","nivel","ehFolha"
"101311000","10131","Serviços de instalação de elevadores, esteiras e escadas rolantes",3,true
"101319000","10131","Outros serviços de instalação ",3,true
"101320000","101","Serviços de vidraçaria",2,true
"101330000","101","Serviços de gesso",2,true
"101340000","101","Serviços de pintura",2,true
"101350000","101","Serviços de assentamento de revestimentos em paredes e pisos",2,true
"101360000","101","Outros serviços de cobertura de pisos e paredes e papel de parede",2,true
"101370000","101","Serviços de carpintaria e serralheria, inclusive suas instalações e montagens",2,true
"101380000","101","Serviços de instalação de cercas e grades",2,true
"101390000","101","Outros serviços de acabamento das construções",2,true
"102010000","102","Serviços de agentes de distribuição de mercadorias ",2,true
"102020000","102","Comércio atacadista",2,true
"102030000","102","Comércio varejista ",2,true
"10204","102","Serviços de despachante aduaneiro",2,false
"102041000","10204","Serviços de despachante aduaneiro na importação",3,true
"102042000","10204","Serviços de despachante aduaneiro na exportação",3,true
"102050000","102","Serviços de agentes na comercialização de energia elétrica ",2,true
"10301","103","Fornecimento de alimentação, incluindo refeições",2,false
"103011000","10301","Fornecimento de refeições acompanhado de serviços de restaurante",3,true
"103012","10301","Fornecimento de refeições com serviços limitados de restaurante",3,false
"103012100","103012","Fornecimento de refeições pelo sistema de autosserviço (self-service)",4,true
"103012200","103012","Fornecimento de comidas do tipo ""comidas rápidas"" (fast-food)",4,true
"103012900","103012","Outros fornecimentos de refeições com serviços limitados de restaurante",4,true
"103013","10301","Fornecimento de alimentação, incluindo refeições, sob contrato",3,false
"103013100","103013","Fornecimento de alimentação para eventos, sob contrato",4,true
"103013200","103013","Fornecimento de alimentação, incluindo refeições, para operadores de transportes (comissaria ou catering)",4,true
"103013900","103013","Outros fornecimentos de alimentação, incluindo refeições, sob contrato",4,true
"103019000","10301","Outros fornecimentos de alimentação",3,true
"103020000","103","Fornecimento de bebidas em bares, cervejarias e outros",2,true
"10303","103","Serviços de hospedagem para visitantes",2,false
"103031","10303","Serviços de quarto ou de unidades de hospedagem para visitantes",3,false
"103031100","103031","Serviços de quarto ou de unidades de hospedagem para visitantes, com serviços diários de faxina",4,true
"103031200","103031","Serviços de quarto ou de unidades de hospedagem para visitantes, sem serviços diários de faxina",4,true
