Código;Descrição
105021320;Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de carga unitizada, exceto em contêineres
1050214;Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de cargas em contêineres
105021410;Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de cargas em contêineres frigorificados ou climatizados
105021490;Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de cargas em outros tipos de contêineres
105021500;Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de mudanças domésticas e de mobília e outros objetos de escritório
105021600;Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de cargas especiais e de grande porte 
105021700;Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de veículos
1050218;Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de produtos perigosos
105021810;Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de combustíveis, lubrificantes e GLP, inclusive apresentado em botijões metálicos
105021820;Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de produtos químicos perigosos
105021890;Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de outros produtos perigosos
105021900;Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de outros tipos de carga 
105022;Serviços de transporte aquaviário por navegação interior
1050221;Serviços de transporte aquaviário por navegação interior de cargas a granel
105022110;Serviços de transporte aquaviário por navegação interior de cargas sólidas, a granel 
105022120;Serviços de transporte aquaviário por navegação interior de cargas líquidas ou liquefeitas, a granel
105022130;Serviços de transporte aquaviário por navegação interior de cargas gasosas a granel
105022200;Serviços de transporte aquaviário por navegação interior  de cargas vivas
1050223;Serviços de transporte aquaviário por navegação interior de carga geral
105022310;Serviços de transporte aquaviário por navegação interior de carga solta, não unitizada
105022320;Serviços de transporte aquaviário por navegação interior de carga unitizada, exceto em contêineres
1050224;Serviços de transporte aquaviário por navegação interior de cargas em contêineres
105022410;Serviços de transporte aquaviário por navegação interior de cargas em contêineres frigorificados ou climatizados
105022490;Serviços de transporte aquaviário por navegação interior de cargas em outros tipos de contêineres
105022500;Serviços de transporte aquaviário por navegação interior de mudanças domésticas e de mobília e outros objetos de escritório
105022600;Serviços de transporte aquaviário por navegação interior de cargas especiais e de grande porte 
105022700;Serviços de transporte aquaviário por navegação interior de veículos
