Código;Descrição
103019000;Outros fornecimentos de alimentação
103020000;Fornecimento de bebidas em bares, cervejarias e outros
10303;Serviços de hospedagem para visitantes
103031;Serviços de quarto ou de unidades de hospedagem para visitantes
103031100;Serviços de quarto ou de unidades de hospedagem para visitantes, com serviços diários de faxina
103031200;Serviços de quarto ou de unidades de hospedagem para visitantes, sem serviços diários de faxina
103031300;Serviços de quarto ou de unidades de hospedagem para visitantes, em propriedades partilhadas
103031400;Serviços de quarto ou de unidades de hospedagem para visitantes, em quartos de múltipla ocupação
103032000;Serviços de acampamentos turísticos (camping)
103039000;Outros serviços de hospedagem para visitantes
10304;Outros serviços de hospedagem
103041000;Serviços de quarto ou de unidades de hospedagem para estudantes em residências estudantis
103042000;Serviços de quarto ou de unidades de hospedagem para trabalhadores em hotéis ou campos
103049000;Outros serviços de quarto ou de unidades de hospedagem
104;Serviços de transporte de passageiros
10401;Serviços de transporte de passageiros em áreas urbanas ou rurais, inclusive nas áreas metropolitanas 
104011;Serviços de transporte terrestre de passageiros em áreas urbanas ou rurais, inclusive nas áreas metropolitanas
1040111;Serviços de transporte rodoviário urbano de passageiros, exceto em áreas metropolitanas 
104011110;Serviços prestados única e exclusivamente por meio de ônibus
104011190;Serviços prestados por meio de outros veículos rodoviários
104011200;Serviços de transporte rodoviário de passageiros nas áreas metropolitanas 
104011300;Serviços de transporte ferroviário urbano ou rural, inclusive nas áreas metropolitanas, de passageiros
104011400;Serviços de transporte metroviário (metrô) de passageiros 
104011500;Serviços de transporte integrado urbano ou rural, inclusive nas áreas metropolitanas, de passageiros
104011600;Serviços de taxi
104011700;Serviço de aluguel de carros com motorista
1040119;Outros serviços terrestres de transporte de passageiros 
104011910;Serviços de transporte escolar
104011990;Outros serviços terrestres de transporte de passageiros 
104012;Serviços de transporte aquaviário de passageiros
104012100;Serviços de transporte por navegação interior de passageiros por embarcações para travessia 
104012200;Serviços de transporte por navegação interior de passageiros por embarcações para cruzeiros
104012900;Outros serviços de transporte por navegação interior de passageiros
104019000;Outros serviços de transporte de passageiros em áreas urbanas ou rurais, inclusive metropolitanas
10402;Serviços de transporte para passeios turísticos (sightseeing), serviços de fretamento, exceto aéreo
104021;Serviços de transporte para passeios turísticos (sightseeing)
104021100;Serviços de transporte rodoviário para passeios turísticos (sightseeing)
104021200;Serviços de transporte ferroviário para passeios turísticos (sightseeing)
104021300;Serviços de transporte aquaviário para passeios turísticos (sightseeing)
104021400;Serviços de transporte aéreo para passeios turísticos (sightseeing)
104021900;Outros serviços transporte para passeios turísticos (sightseeing)
104022;Serviços de fretamento, exceto aéreo
104022100;Serviços de fretamento contínuo
104022200;Serviços de fretamento eventual ou turístico
104022900;Outros serviços de fretamento, exceto aéreo
10403;Serviços de transporte interestadual, inclusive interestadual semiurbano, e internacional, de passageiros, exceto os serviços de transporte aéreo
104031;Serviços de transporte terrestre interestadual, inclusive interestadual semiurbano, e internacional de passageiros 
1040311;Serviços de transporte rodoviário interestadual, inclusive interestadual semiurbano, de passageiros
104031110;Serviços prestados única e exclusivamente por meio de ônibus
104031190;Serviços prestados por meio de outros veículos rodoviários
104031200;Serviços de transporte ferroviário interestadual, inclusive interestadual semiurbano, de passageiros
104031900;Outros serviços terrestres de transporte interestadual, inclusive interestadual semiurbano, não classificados em outra posição, e de transporte internacional de passageiros
104032;Serviços de transporte aquaviário interestadual, inclusive interestadual semiurbano, e internacional de passageiros
104032100;Serviços de transporte interestadual, inclusive interestadual semiurbano, por navegação interior, de passageiros por embarcações para travessia 
104032200;Serviços de transporte interestadual, inclusive interestadual semiurbano, por navegação interior, de passageiros por embarcações para cruzeiros
104032300;Serviços de transporte internacional de passageiros por embarcações para cruzeiros
104032900;Outros serviços de transporte aquaviário interestadual, inclusive interestadual semiurbano, de passageiros
104039000;Outros serviços de transporte interestadual, inclusive interestadual semiurbano, e internacional de passageiros, exceto os serviços de transporte aéreo
10404;Serviços de transporte aéreo de passageiros, inclusive por fretamento
104041;Serviços de transporte aéreo, em linhas regulares
104041100;Serviços de transporte aéreo doméstico de passageiros 
104041200;Serviços de transporte aéreo internacional de passageiros 
104042000;Serviços de transporte aéreo por fretamento
104049;Outros serviços de transporte aéreo de passageiros
104049100;Serviços de táxi aéreo
104049900;Outros serviços de transporte aéreo de passageiros
104900000;Outros serviços de transporte de passageiros
105;Serviços de transporte de cargas
10501;Serviços de transportes terrestres de cargas
105011;Serviços de transportes rodoviários de cargas
1050111;Serviços de transporte rodoviário de cargas a granel
105011110;Serviços de transporte rodoviário de cargas sólidas a granel 
105011120;Serviços de transporte rodoviário de cargas líquidas ou liquefeitas, a granel
105011130;Serviços de transporte rodoviário de cargas gasosas a granel
